folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
284,1,1,7,5,1,2,4,Solar,Nuevo,No le da mantenimiento,De 120 a 140 litros (hasta 7 personas)
287,1,1,1,1,2,4,1,De gas con deposito,Usado,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
301,1,1,1,4,1,6,2,De gas con deposito,Nuevo,Cada año,De 90 a 110 litros (hasta 6 personas)
302,1,1,1,1,1,25,4,De gas con deposito,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
303,1,1,1,4,1,5,4,De gas con deposito,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
304,1,1,1,3,1,5,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
304,1,2,7,1,1,3,4,Solar,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
305,1,1,1,1,1,20,4,De gas con deposito,Nuevo,No le da mantenimiento,De 38 a 40 litros (hasta 2 personas)
306,1,1,1,3,1,10,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
307,1,1,7,3,1,2,1,Solar,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
308,1,1,1,1,1,20,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
308,1,2,7,3,1,2,2,Solar,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
309,1,1,1,3,1,2,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
311,1,1,1,2,1,12,4,De gas con deposito,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
312,1,2,7,3,1,2,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
312,1,1,1,3,1,14,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
313,1,1,7,4,1,2,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
314,1,1,7,3,1,1,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
316,1,1,7,2,1,7,4,Solar,Nuevo,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
317,1,1,1,1,2,2,2,De gas con deposito,Usado,Cada año,De 38 a 40 litros (hasta 2 personas)
318,1,1,7,4,1,4,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
328,1,1,7,3,1,4,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
332,1,1,1,3,1,10,2,De gas con deposito,Nuevo,Cada año,De 70 a 80 litros (hasta 4 personas)
