folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio
284,1,1,2,4,7,06,00,1, ,3, , ,05
285,1,1,3,3,7,01,00, , ,3, , ,01
286,1,1,3,1,7,01,00, , ,3, , ,01
287,1,2,4,2,7,03,00,1,2,3, , ,15
287,1,1,4,2,7,02,00,1, ,3, , ,15
288,1,2,2,3,7,03,30, , ,3, , ,07
288,1,1,2,2,7,02,30, , ,3, , ,04
289,1,1,3,1,7,04,30,1, ,3, , ,01
289,1,2,3,2,7,02,00, , ,3, , ,11
289,1,3,3,3,1,01,00, ,2, , , ,07
290,1,1,3,2,7,03,00, , ,3,4, ,06
291,1,1,3,3,7,03,00, , ,3, , ,01
292,1,1,3,3,7,02,00, , ,3, , ,03
292,1,2,3,2,7,04,00, ,2,3, , ,02
293,1,2,3,2,7,02,00, ,2,3, , ,01
293,1,1,3,4,7,02,00, , ,3, , ,01
295,1,1,3,3,7,06,00,1, ,3, , ,02
295,1,2,3,3,7,02,00, ,2,3, , ,01
296,1,2,4,3,7,08,00,1,2,3, , ,10
296,1,1,3,1,7,03,00, , ,3, , ,03
297,1,1,4,1,7,05,00, , ,3, , ,18
297,1,2,4,2,7,06,00, , ,3, , ,15
298,1,1,4,3,7,03,00, , ,3, , ,10
298,1,2,4,4,7,03,00, , ,3, , ,05
299,1,1,4,3,7,02,00, , ,3, , ,15
299,1,2,4,3,7,01,00, ,2, , , ,15
300,1,1,2,3,7,03,00, , ,3, , ,02
300,1,2,2,3,7,04,00, , ,3, , ,02
301,1,2,1,4,7,02,00, , ,3, , ,02
301,1,3,3,3,7,05,00,1, ,3, , ,04
301,1,1,3,3,7,03,00, , ,3, , ,03
302,1,1,3,3,7,01,00,1, ,3, , ,05
303,1,1,3,3,7,05,00,1,2, , , ,03
303,1,3,3,3,7,04,00, , ,3, , ,05
303,1,2,3,3,7,02,00, , ,3, , ,03
304,1,2,3,2,7,05,00, ,2,3, , ,05
304,1,1,3,3,7,02,00, ,2,3, , ,05
306,1,1,3,2,2,05,00,1, ,3, , ,03
307,1,1,3,2,7,02,00, , ,3, , ,03
308,1,1,2,3,7,01,00,1, ,3, , ,05
309,1,1,2,3,7,07,00, ,2,3, , ,01
309,1,3,4,2,1,01,00, , ,3, , ,15
309,1,2,4,2,7,04,00, , ,3, , ,15
310,1,1,4,2,7,01,00, , ,3, , ,04
310,1,2,4,2,7,00,30, , ,3, , ,04
310,1,3,3,3,7,04,00, , ,3, , ,01
311,1,1,2,2,7,05,00, , ,3, , ,02
312,1,1,2,4,7,05,00,1, ,3, , ,03
312,1,2,3,2,7,02,00, , ,3, , ,02
312,1,3,2,2,7,02,00, , ,3, , ,04
313,1,1,2,4,7,04,00, ,2,3, , ,06
314,1,1,2,3,7,02,00, , ,3, , ,04
315,1,1,2,3,7,04,00, , ,3, , ,03
316,1,4,2,3,7,02,00, , ,3, , ,01
316,1,1,2,3,7,06,00, ,2,3, , ,01
316,1,2,2,3,7,02,00, , ,3, , ,01
316,1,3,2,2,7,10,00,1,2,3, , ,01
317,1,1,3,3,7,08,00,1,2,3, , ,01
318,1,3,2,1,7,02,00, , ,3, , ,06
318,1,2,2,2,7,03,00, ,2,3, , ,04
318,1,1,2,2,1,01,00, , ,3, , ,04
319,1,3,2,1,7,02,00, , ,3, , ,01
319,1,2,2,1,7,03,00, , ,3, , ,01
319,1,1,2,3,7,12,00,1,2,3, , ,03
